role,title,company,city_clean,region,country,job_count
Data Scientist,"Abschlussarbeit im Bereich Data Science – Abschlussarbeit in Leipzig oder Lübeck, singularIT GmbH",singularIT GmbH,Leipzig,,Germany,1
Data Scientist,Working Student Product Enablement & Communication - Data Analytics & AI (f/m/d),TÜV SÜD AG,München,,Germany,1
Data Scientist,Pflichtpraktikum Master Data Management im Projekt Trinity mit Fokus technische Pro... / REF283075W,Robert Bosch GmbH,Stuttgart,,Germany,1
Data Scientist,Datenmanager*in (m/w/d),Kreisstadt Unna Der Bürgermeister,Unna,,Germany,1
Data Scientist,Entwickler für KI-gestützte Prozessautomatisierung (w/m/x),BMW AG,München,,Germany,1
Data Scientist,Microscopy Scientist (m/f/x),Ruhr-Universität Bochum,Bochum,,Germany,1
Data Scientist,Projektmanager Energiewirtschaft (m/w/d),PEGA Personaldienstleistungen GmbH,Hamburg,,Germany,1
Data Scientist,Solution Consultant – Data & Process Integration Services / EDI (m/w/d),Henkell & Co. Sektkellerei KG,Wiesbaden,,Germany,1
Data Scientist,"Associate Director in Data Science, Digital Health Analytics and Innovation (all genders)",Merck KGaA,Darmstadt,,Germany,1
Data Scientist,Data Engineer - Databricks (m/w/d/pixelhead) für unsere Tochterfirma RE-IN,Conrad Electronic SE,Hirschau,Oberpfalz,Germany,1
Data Scientist,Master Thesis Student (m/f/d) - Data Modeling for Product Carbon Footprint in Semiconductor Manufact,Nexperia Germany GmbH,Hamburg,,Germany,1
Data Scientist,Leitung KI & Data Science (m/w/d),Arnulf Betzold GmbH,Ellwangen (Jagst),,Germany,1
Data Scientist,Head of Product (m/f/d),7Learnings,Berlin,,Germany,1
Data Scientist,Werkstudent / Werkstudentin (w/m/d) im Bereich Strategie & Innovation,Deutsche Bundesbank Zentrale,Frankfurt Am Main,,Germany,1
Data Scientist,"KI-Spezialist / Data Scientist (m/w/d), DE - Sengenthal (Lkr. Neumarkt i.d.OPf.)",Max Bögl Bauservice GmbH und Co. KG,Sengenthal,,Germany,1
Data Scientist,Analytics Engineer (w/m/d) - Hybrid,EVEX Deutschland GmbH,Leinfelden-Echterdingen,,Germany,1
Data Scientist,Trainee Datenanalyse Revision International (m/w/d),Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,,Germany,1
